def,detailed,,
"Extreme cold events cold snaps, cold waves, polar vortex","The polar vortex is a large area of low pressure and cold air surrounding the Earth's North and South poles. Often during winter in the Northern Hemisphere, the polar vortex will become less stable and expand, sending cold Arctic air southward over the United States with the jet stream. A cold wave, sometimes known as a cold snap or deep freeze, is a weather event involving a cooling of the air, or the invasion of very cold air, over a large area. It is marked by a drop of average temperature well below the averages of a region",,
"Extreme heat events, including urban heat island effects heat waves","Extreme heat events, including urban heat island effects are a period of abnormally hot weather. [Special Report Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation]. Heat waves are defined as relatively dry daytime heat waves or humid nighttime events that are associated with higher human morbidity and mortality. Heat waves are projected to increase in intensity over the coming decades. Heatwaves will become more intense in the future. Heat waves are identified as one of the extreme climate events changing due to anthropogenic climate change. Effects of increasing temperatures have resulted in an increase in the frequency of heatwaves. Warming is expected to increase the likelihood of extremely hot days and nights.   ",,
Droughts,"Drought is a period of abnormally dry weather long enough to cause a serious hydrological imbalance. A period with an abnormal precipitation deficit is defined as a meteorological drought. A megadrought is a very lengthy and pervasive drought, lasting much longer than normal, usually a decade or more. Surface soil moisture availability, which is a critical diagnostic metric for drought, is projected to decrease and lead to an increase in drought caused by evaporative demands. With increased drought frequency come associated impacts such as poor soil quality and increased erosion potential",,
"Extreme rainfall with Inland or Coastal Flooding, extreme rainfall, inland flooding; coastal flooding, heavy downpours","An episode of abnormally high rain or snow. The definition of extreme is a statistical concept that varies depending on location, season, and length of the historical record. Increases in the intensity or frequency of heavy precipitation are key factors that affect the_risk of_floods and flash floods. While there is no single definition of extreme rainfall, per se, a good benchmark is a month's worth of rain for a given location falling in one day. Flood is the overflowing of the normal confines of a stream or other body of water, or the accumulation of water over areas that are not normally submerged. Floods include river (fluvial) floods, flash floods, urban floods, pluvial floods, sewer floods, coastal floods, and glacial lake outburst floods.",,
"Extreme snow and ice storms, Extreme winter precipitation, blizzard, ice storm, sleet, freezing rain","Blizzards are dangerous winter storms that are a combination of blowing snow and wind resulting in very low visibilities. While heavy snowfalls and severe cold often accompany blizzards, they are not required. Sometimes strong winds pick up snow that has already fallen, creating a ground blizzard. An ice storm is a storm which results in the accumulation of at least .25 of ice on exposed surfaces. They create hazardous driving and walking conditions. Tree branches and powerlines can easily snap under the weight of the ice.",,
Tropical cyclones and Hurricanes,"Tropical  cyclone is a strong, cyclonic-scale disturbance  that  originates  over  tropical  oceans. Beyond threshold windspeed, a tropical  cyclone  is called a  hurricane, typhoon, or  cyclone,  depending  on geographic  location. The world is already experiencing the effects of climate change in the form of intense tropical cyclones. Increasing evidence shows that tropical cyclone intensity and precipitation will increase because of climate change.  It is also shown that the spatial distribution of tropical cyclones may change in the future climate, with decreased tropical cyclone counts over the southern Gulf of Mexico and Caribbean and increased counts over the central Atlantic."" ",,
Extratropical cyclones,Extratropical  Cyclone is any  cyclonic-scale storm  that  is not  a  tropical  cyclone. Usually  refers  to  a middle-  or  high-latitude migratory  storm  system  formed in regions of  large horizontal  temperature variations. Sometimes called  extratropical  storm  or  extratropical  low. ,,
Wildfires,"Wildfires are unplanned fires that burn in natural areas like forests, grasslands or prairies. These dangerous fires spread quickly and can devastate not only wildfire and natural areas, but also communities. The world is already experiencing the effects of climate change in the form of increased numbers of wildfires. The contribution of the climate to wildfire ignition, intensity, and spread is dictated by precipitation, temperature, and wind patterns, which, in turn, affect vegetation type/distribution.",,
"Severe convective storms, Thunderstorms and Tornados, Lightning, Extreme winds, Heavy Precipitation, Hail, hailstorm","Convective storms or Thunderstorms, as they are more commonly referred to in the UK, are severe local storms associated with thunder, lightning, heavy rain, hail, strong winds and sudden changes in temperature. They can occur all year round but are most common during the summer months. Severe convective storms are among the most common, most damaging natural catastrophes in the United States. The result of warm, moist air rising from the earth, they manifest in various ways, depending on atmospheric conditions - from drenching thunderstorms with lightning, to tornadoes, hail, or destructive straight-line winds.",,
Rising Surface Temperatures,"Global warming is the estimated increase in global mean surface temperature (GMST) averaged over a 30-year period, or the 30-year period centered on a particular year or decade, expressed relative to pre-industrial levels unless otherwise specified. For 30-year periods that span past and future years, the current multi-decadal warming trend is assumed to continue.  Effects of increasing temperatures have resulted in an increase in the length of the frost-free season since the early 1900s and an increase in the frequency of heatwaves since the mid-1960s. The length of the frost-free season (and the corresponding growing season) has been increasing and is projected to continue to lengthen, affecting ecosystems and agriculture.  ",,
